,1,2,3,4,5,6,7,8,9,10,Best fit
% sim,21,21,16,16,24,56,23,19,16,30,56
ai,526,1031,1259,1259,327,64,1431,212,1585,72,0
% sim,40,20,20,20,39,32,22,27,15,32,40
batterytech,3519,3812,2505,2505,2037,1210,3939,315,904,3939,0
% sim,44,25,26,26,26,42,17,15,15,23,44
blackswans,4474,3174,3473,3473,1390,1791,548,4379,842,3560,0
% sim,39,28,24,24,15,27,21,16,19,33,39
blockchain,1598,1356,404,404,960,258,826,749,167,826,0
% sim,45,18,15,15,27,55,18,20,15,29,55
carboneradication,83,462,389,389,1153,1117,3237,3144,2121,3237,0
% sim,27,12,21,21,17,21,15,15,17,23,27
counterpartyrisk,446,6677,2714,2714,4751,106,1147,4576,1092,4106,0
% sim,36,21,32,32,19,28,16,14,20,17,36
digitalads,2079,1111,1711,1711,2376,35,948,586,2839,2049,0
% sim,24,30,24,24,16,20,16,15,19,33,33
digitalcurrency,304,882,186,186,560,339,620,304,1560,620,0
% sim,20,23,22,22,20,18,17,19,16,29,29
digitalhealth,625,736,1409,1409,480,160,616,115,1767,1738,0
% sim,16,25,22,22,18,16,14,16,14,22,25
educationtech,1000,669,980,980,1556,1435,82,443,348,82,0
% sim,36,17,31,31,23,33,13,13,15,25,36
financialservices,3552,904,211,211,1001,2890,166,21,1096,3518,0
% sim,14,21,27,27,19,60,29,16,13,26,60
internetofthings,1585,488,413,413,170,1230,532,681,2489,428,0
% sim,50,27,18,18,29,22,25,18,16,36,50
property,2109,2012,1011,1011,286,820,1727,2006,911,1727,0
% sim,37,20,18,18,13,47,18,13,18,26,47
sharingeconomy,2870,3155,2182,2182,3275,2626,127,1374,2074,127,0
